nH_cm2,nH_1e22,flux_broad_ph,flux_broad_erg
1000000000000000.0,1e-07,1.5867751904568897e-12,1.5867751904568897e-12
1025677930744420.9,1.0256779307444209e-07,1.5867751857968518e-12,1.5867751857968518e-12
1052015217616156.9,1.0520152176161568e-07,1.5867751810171483e-12,1.5867751810171483e-12
1079028791516185.8,1.0790287915161857e-07,1.586775176114715e-12,1.586775176114715e-12
1106736018095974.5,1.1067360180959745e-07,1.5867751710863947e-12,1.5867751710863947e-12
1135154708920999.0,1.135154708920999e-07,1.5867751659289575e-12,1.5867751659289575e-12
1164303132920875.5,1.1643031329208755e-07,1.5867751606390945e-12,1.5867751606390945e-12
1194200028133530.0,1.19420002813353e-07,1.5867751552133925e-12,1.5867751552133925e-12
1224864613750933.2,1.2248646137509333e-07,1.5867751496483695e-12,1.5867751496483695e-12
1256316602474121.5,1.2563166024741214e-07,1.5867751439404511e-12,1.5867751439404511e-12
1288576213185518.0,1.288576213185518e-07,1.5867751380859624e-12,1.5867751380859624e-12
1321664183946603.8,1.3216641839466037e-07,1.5867751320811483e-12,1.5867751320811483e-12
1355601785329366.2,1.3556017853293663e-07,1.5867751259221378e-12,1.5867751259221378e-12
1390410834090072.5,1.3904108340900724e-07,1.5867751196049778e-12,1.5867751196049778e-12
1426113707194129.8,1.4261137071941298e-07,1.5867751131256079e-12,1.5867751131256079e-12
1462733356201130.0,1.46273335620113e-07,1.5867751064798595e-12,1.5867751064798595e-12
1500293322019216.8,1.5002933220192168e-07,1.5867750996634615e-12,1.5867750996634615e-12
1538817750038343.2,1.538817750038343e-07,1.5867750926720334e-12,1.5867750926720334e-12
1578331405652119.8,1.5783314056521197e-07,1.586775085501081e-12,1.586775085501081e-12
1618859690178199.2,1.6188596901781992e-07,1.5867750781459929e-12,1.5867750781459929e-12
1660428657187529.5,1.6604286571875294e-07,1.5867750706020408e-12,1.5867750706020408e-12
1703065029252842.5,1.7030650292528424e-07,1.5867750628643767e-12,1.5867750628643767e-12
1746796215127242.2,1.7467962151272424e-07,1.5867750549280258e-12,1.5867750549280258e-12
1791650327363903.2,1.7916503273639031e-07,1.5867750467878854e-12,1.5867750467878854e-12
1837656200388172.5,1.8376562003881725e-07,1.5867750384387228e-12,1.5867750384387228e-12
1884843409033795.5,1.8848434090337956e-07,1.5867750298751719e-12,1.5867750298751719e-12
1933242287555043.2,1.9332422875550434e-07,1.5867750210917267e-12,1.5867750210917267e-12
1982883949127067.2,1.9828839491270673e-07,1.5867750120827413e-12,1.5867750120827413e-12
2033800305846984.2,2.0338003058469841e-07,1.5867750028424226e-12,1.5867750028424226e-12
2086024089248505.0,2.086024089248505e-07,1.5867749933648313e-12,1.5867749933648313e-12
2139588871343421.5,2.1395888713434216e-07,1.5867749836438782e-12,1.5867749836438782e-12
2194529086203311.5,2.1945290862033115e-07,1.5867749736733065e-12,1.5867749736733065e-12
2250880052095457.2,2.2508800520954574e-07,1.586774963446715e-12,1.586774963446715e-12
2308677994187172.0,2.308677994187172e-07,1.5867749529575275e-12,1.5867749529575275e-12
2367960067833078.5,2.3679600678330785e-07,1.586774942198995e-12,1.586774942198995e-12
2428764382460450.5,2.4287643824604503e-07,1.586774931164209e-12,1.586774931164209e-12
2491130026067786.0,2.491130026067786e-07,1.5867749198460756e-12,1.5867749198460756e-12
2555097090352502.0,2.555097090352502e-07,1.5867749082373084e-12,1.5867749082373084e-12
2620706696483855.0,2.620706696483855e-07,1.5867748963304607e-12,1.5867748963304607e-12
2688001021537607.5,2.6880010215376075e-07,1.5867748841178688e-12,1.5867748841178688e-12
2757023325609582.5,2.7570233256095827e-07,1.5867748715916787e-12,1.5867748715916787e-12
2827817979625338.0,2.827817979625338e-07,1.5867748587438442e-12,1.5867748587438442e-12
2900430493863985.5,2.9004304938639855e-07,1.5867748455661038e-12,1.5867748455661038e-12
2974907547214443.5,2.9749075472144436e-07,1.5867748320499873e-12,1.5867748320499873e-12
3051297017182871.0,3.051297017182871e-07,1.5867748181868056e-12,1.5867748181868056e-12
3129648010670750.5,3.1296480106707507e-07,1.5867748039676474e-12,1.5867748039676474e-12
3210010895543168.5,3.2100108955431685e-07,1.5867747893833703e-12,1.5867747893833703e-12
3292437333007775.5,3.292437333007775e-07,1.5867747744245974e-12,1.5867747744245974e-12
3376980310825095.0,3.376980310825095e-07,1.5867747590817188e-12,1.5867747590817188e-12
3463694177371734.5,3.4636941773717346e-07,1.5867747433448633e-12,1.5867747433448633e-12
3552634676578139.5,3.5526346765781394e-07,1.5867747272039196e-12,1.5867747272039196e-12
3643858983763540.5,3.6438589837635404e-07,1.5867747106485115e-12,1.5867747106485115e-12
3737425742391056.5,3.737425742391056e-07,1.5867746936679972e-12,1.5867746936679972e-12
3833395101766605.5,3.8333951017666054e-07,1.5867746762514554e-12,1.5867746762514554e-12
3931828755705770.0,3.93182875570577e-07,1.5867746583876944e-12,1.5867746583876944e-12
4032789982193705.5,4.0327899821937054e-07,1.586774640065229e-12,1.586774640065229e-12
4136343684063269.5,4.1363436840632694e-07,1.5867746212722853e-12,1.5867746212722853e-12
