nH_cm2,nH_1e22,flux_broad_ph,flux_broad_erg
1e+19,0.001,0.001898596106384074,4.837793659947665e-12
1.0272736385307947e+19,0.0010272736385307946,0.0018984762045396158,4.8376524487248816e-12
1.055291128420298e+19,0.001055291128420298,0.0018983530476778892,4.837507401351948e-12
1.0840727572015876e+19,0.0010840727572015876,0.0018982265478575805,4.837358414040891e-12
1.1136393657225857e+19,0.0011136393657225857,0.0018980966147848573,4.837205380219217e-12
1.1440123632369576e+19,0.0011440123632369577,0.0018979631557517328,4.837048190456485e-12
1.1752137429066426e+19,0.0011752137429066427,0.0018978260755728683,4.836886732389048e-12
1.2072660977271007e+19,0.0012072660977271007,0.0018976852765208508,4.836720890642809e-12
1.2401926368869927e+19,0.0012401926368869928,0.0018975406582597866,4.836550546754189e-12
1.2740172025740018e+19,0.0012740172025740017,0.001897392117777312,4.836375579088906e-12
1.3087642872390193e+19,0.0013087642872390193,0.0018972395493148523,4.8361958627589095e-12
1.3444590513311896e+19,0.0013444590513311896,0.0018970828442962555,4.836011269537009e-12
1.3811273415166515e+19,0.0013811273415166516,0.0018969218912545495,4.835821667769594e-12
1.4187957093941742e+19,0.001418795709394174,0.0018967565757570055,4.835626922287004e-12
1.4574914307212214e+19,0.0014574914307212215,0.0018965867803283057,4.835426894311721e-12
1.4972425251644428e+19,0.0014972425251644427,0.0018964123843718862,4.835221441364341e-12
1.5380777765887121e+19,0.001538077776588712,0.0018962332640892904,4.8350104171671205e-12
1.5800267538996412e+19,0.0015800267538996413,0.0018960492923976795,4.8347936715451775e-12
1.623119832454485e+19,0.001623119832454485,0.0018958603388452553,4.8345710503253145e-12
1.6673882160570126e+19,0.0016673882160570127,0.0018956662695247173,4.834342395232234e-12
1.7128639595522583e+19,0.0017128639595522582,0.0018954669469846094,4.834107543782372e-12
1.7595799920375124e+19,0.0017595799920375123,0.0018952622301385642,4.8338663291750255e-12
1.8075701407063622e+19,0.0018075701407063622,0.001895051974172411,4.833618580180854e-12
1.85686915534303e+19,0.0018568691553430298,0.001894836030449073,4.833364121027714e-12
1.907512733484838e+19,0.001907512733484838,0.00189461424641122,4.833102771283731e-12
1.9595375462707917e+19,0.0019595375462707915,0.0018943864654816672,4.8328343457375284e-12
2.0129812649953018e+19,0.002012981264995302,0.001894152526961428,4.83255865427566e-12
2.0678825883860455e+19,0.0020678825883860457,0.0018939122659254355,4.8322755017570095e-12
2.1242812706258104e+19,0.0021242812706258104,0.0018936655131158154,4.831984687884334e-12
2.182218150138596e+19,0.002182218150138596,0.0018934120948327698,4.831686007072648e-12
2.2417351791608156e+19,0.0022417351791608154,0.0018931518328229229,4.831379248314635e-12
2.3028754541190144e+19,0.0023028754541190143,0.0018928845441651798,4.831064195042825e-12
2.3656832468360765e+19,0.0023656832468360767,0.001892610041153958,4.830740624988543e-12
2.4302040365886407e+19,0.0024302040365886406,0.0018923281311798894,4.830408310037646e-12
2.4964845430386373e+19,0.0024964845430386373,0.0018920386166077895,4.830067016082956e-12
2.5645727600631894e+19,0.0025645727600631892,0.0018917412946519861,4.829716502873179e-12
2.6345179905070756e+19,0.0026345179905070755,0.0018914359572488912,4.829356523858525e-12
2.706370881883041e+19,0.002706370881883041,0.0018911223909268324,4.828986826032726e-12
2.7801834630457872e+19,0.0027801834630457874,0.00189080037667302,4.828607149771543e-12
2.8560091818661913e+19,0.0028560091818661914,0.0018904696897977338,4.828217228667658e-12
2.9339029439330402e+19,0.00293390294393304,0.0018901300997955922,4.827816789361823e-12
3.0139211523102798e+19,0.00301392115231028,0.0018897813702039106,4.82740555137043e-12
3.0961217483787067e+19,0.003096121748378707,0.0018894232584581046,4.8269832269090896e-12
3.1805642537913197e+19,0.00318056425379132,0.0018890555157441207,4.82654952071253e-12
3.2673098135731913e+19,0.0032673098135731914,0.0018886778868478728,4.826104129850599e-12
3.3564212403967046e+19,0.0033564212403967048,0.0018882901100016009,4.825646743540193e-12
3.447963060064366e+19,0.0034479630600643663,0.0018878919167271556,4.825177042953334e-12
3.5420015582320943e+19,0.003542001558232094,0.001887483031676281,4.824694701021096e-12
3.6386048284068282e+19,0.003638604828406828,0.0018870631724676496,4.824199382233531e-12
3.7378428212532e+19,0.0037378428212532003,0.0018866320495208799,4.823690742435373e-12
3.8397873952449544e+19,0.0038397873952449543,0.001886189365887346,4.823168428617636e-12
3.9445123686979674e+19,0.003944512368697968,0.0018857348170778154,4.822632078704948e-12
4.052093573222085e+19,0.004052093573222085,0.0018852680908869515,4.822081321338606e-12
4.1626089086311e+19,0.0041626089086311,0.0018847888672146236,4.821515775655369e-12
4.2761383993501704e+19,0.004276138399350171,0.0018842968178840068,4.8209350510620016e-12
4.3927642523616985e+19,0.004392764252361699,0.0018837916064565435,4.820338747005248e-12
4.512570916731608e+19,0.004512570916731609,0.0018832728880436962,4.819726452737676e-12
4.635645144759123e+19,0.004635645144759123,0.0018827403091155233,4.819097747078926e-12
4.762076054794317e+19,0.004762076054794317,0.0018821935073061722,4.818452198172647e-12
